|6.6.6
fo_moT                                                                                              
           2
 T(K)    
   298.14999999999998     
   50.000000000000000     
          28
 P(bar)  
   1.0000000000000000     
   1000.0000000000000     
          30
          29
      T(K)           P(bar)   g(J/mol)       h(J/mol)       log10[Keq]     s(J/mol/K)     cp(J/mol/K)    v(J/mol/bar)   alpha(1/K)     beta(1/bar)    N(g/mol)       rho(kg/m3)     Gruneisen_T    Ks(bar)        KsT(bar/K)     KsP            Gs(bar)        GsT(bar/K)     GsP            v0(km/s)       v0T(km/s/K)    v0P(km/s/bar)  vp(km/s)       vpT(km/s/K)    vpP(km/s/bar)  vs(km/s)       vsT(km/s/K)    vsP(km/s/bar)  cp/cv         
  648.1500       1001.000      -2102692.      -1970299.       169.4544       204.2621       159.3338       4.412385      0.1636489E-03  0.3712945E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  698.1500       1001.000      -2113207.      -1962258.       158.1051       216.2130       162.2869       4.420674      0.1678292E-03  0.3749499E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  748.1500       1001.000      -2124303.      -1954076.       148.3134       227.5302       164.9283       4.429162      0.1716349E-03  0.3786810E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  798.1500       1001.000      -2135950.      -1945769.       139.7846       238.2774       167.3106       4.437832      0.1751265E-03  0.3824880E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  848.1500       1001.000      -2148122.      -1937349.       132.2936       248.5095       169.4749       4.446670      0.1783523E-03  0.3863717E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  898.1500       1001.000      -2160793.      -1928825.       125.6658       258.2739       171.4537       4.455664      0.1813504E-03  0.3903328E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  948.1500       1001.000      -2173942.      -1920206.       119.7633       267.6120       173.2731       4.464802      0.1841522E-03  0.3943722E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  998.1500       1001.000      -2187548.      -1911500.       114.4760       276.5600       174.9542       4.474076      0.1867831E-03  0.3984913E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1048.150       1001.000      -2201592.      -1902712.       109.7150       285.1498       176.5145       4.483478      0.1892645E-03  0.4026911E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1098.150       1001.000      -2216057.      -1893850.       105.4076       293.4094       177.9684       4.493000      0.1916141E-03  0.4069732E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1148.150       1001.000      -2230928.      -1884917.       101.4938       301.3638       179.3282       4.502637      0.1938469E-03  0.4113392E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1198.150       1001.000      -2246189.      -1875918.       97.92371       309.0353       180.6041       4.512383      0.1959756E-03  0.4157906E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1248.150       1001.000      -2261827.      -1866858.       94.65540       316.4437       181.8049       4.522233      0.1980112E-03  0.4203292E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1298.150       1001.000      -2277829.      -1857739.       91.65350       323.6069       182.9382       4.532183      0.1999631E-03  0.4249570E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1348.150       1001.000      -2294184.      -1848565.       88.88793       330.5410       184.0103       4.542228      0.2018395E-03  0.4296759E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1398.150       1001.000      -2310880.      -1839339.       86.33291       337.2606       185.0272       4.552366      0.2036475E-03  0.4344881E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1448.150       1001.000      -2327907.      -1830063.       83.96625       343.7789       185.9935       4.562592      0.2053934E-03  0.4393957E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1498.150       1001.000      -2345255.      -1820740.       81.76877       350.1080       186.9139       4.572904      0.2070826E-03  0.4444011E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1548.150       1001.000      -2362915.      -1811373.       79.72375       356.2587       187.7920       4.583299      0.2087200E-03  0.4495066E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1598.150       1001.000      -2380878.      -1801962.       77.81661       362.2413       188.6312       4.593775      0.2103100E-03  0.4547149E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  1648.150       1001.000      -2399136.      -1792510.       76.03453       368.0648       189.4347       4.604330      0.2118563E-03  0.4600287E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  298.1500       2001.000      -2044413.      -2016126.       358.1678       94.87595       118.5149       4.359039      0.1114180E-03  0.3465044E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  348.1500       2001.000      -2049642.      -2009939.       307.5136       114.0384       128.4879       4.364913      0.1231108E-03  0.3495765E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  398.1500       2001.000      -2055794.      -2003314.       269.7028       131.8098       136.2466       4.371313      0.1325950E-03  0.3527375E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  448.1500       2001.000      -2062801.      -1996339.       240.4290       148.3031       142.5121       4.378146      0.1405108E-03  0.3559819E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  498.1500       2001.000      -2070605.      -1989080.       217.1150       163.6554       147.7151       4.385345      0.1472662E-03  0.3593061E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
  548.1500       2001.000      -2079150.      -1981581.       198.1250       177.9972       152.1299       4.392858      0.1531353E-03  0.3627078E-05   0.000000       0.000000                NaN   0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000       0.000000    
